Code,smiles,MW,LogP,NumHDonors,NumHAcceptors
CHAL,COc1ccccc1NS(=O)(=O)c1cc(C(=O)/C=C/c2ccc(Cl)cc2Cl)ccc1OC,492.3800000000001,5.707500000000004,1.0,5.0
CHAL,COc1cc(O)c(C(=O)/C=C/c2cccc(N(O)O)c2)c(OC)c1,331.32400000000007,2.8903000000000008,3.0,7.0
CHAL,COc1cc(O)c(C(=O)/C=C/c2ccc(F)cc2)c(OC)c1,302.30100000000004,3.444600000000001,1.0,4.0
CHAL,COc1cc(OC)c(C(=O)/C=C/c2cccc(N(O)O)c2)c(O)c1Br,410.2200000000001,3.6528000000000023,3.0,7.0
CHAL,NC(=O)c1cc(C(=O)/C=C/c2ccc(F)cc2)ccc1O,285.274,2.5263000000000013,2.0,3.0
CHAL,NC(=O)c1cc(C(=O)/C=C/c2cccc(Cl)c2)ccc1O,301.72900000000004,3.0406000000000017,2.0,3.0
CHAL,NC(=O)c1cc(C(=O)/C=C/c2ccc(Br)cc2)ccc1O,346.18000000000006,3.1497000000000015,2.0,3.0
CHAL,Cc1ccccc1/C=C/C(=O)c1ccc(O)c(C(N)=O)c1,281.311,2.69562,2.0,3.0
CHAL,Cc1cccc(/C=C/C(=O)c2ccc(O)c(C(N)=O)c2)c1,281.311,2.69562,2.0,3.0
CHAL,Cc1ccc(/C=C/C(=O)c2ccc(O)c(C(N)=O)c2)cc1,281.311,2.69562,2.0,3.0
CHAL,COc1ccccc1/C=C/C(=O)c1ccc(O)c(C(N)=O)c1,297.31,2.3957999999999995,2.0,4.0
CHAL,NC(=O)c1cc(C(=O)/C=C/c2cccc(O)c2)ccc1O,283.283,2.0928,3.0,4.0
CHAL,COc1ccc(/C=C/C(=O)c2ccc(O)c(C(N)=O)c2)cc1,297.31,2.3958000000000013,2.0,4.0
CHAL,COc1ccc(/C=C/C(=O)c2ccc(O)c(C(N)=O)c2)c(OC)c1,327.33600000000007,2.4044000000000008,2.0,5.0
CHAL,COc1ccc(/C=C/C(=O)c2ccc(O)c(C(N)=O)c2)cc1OC,327.33600000000007,2.4044000000000008,2.0,5.0
CHAL,COc1cc(/C=C/C(=O)c2ccc(O)c(C(N)=O)c2)cc(OC)c1OC,357.36200000000014,2.4130000000000003,2.0,6.0
CHAL,O=C(/C=C/c1ccc(O)c(O)c1)c1ccccc1,240.258,2.993900000000002,2.0,3.0
CHAL,Nc1ccccc1/C=C/C(=O)c1ccccc1,223.275,3.164900000000002,1.0,2.0
CHAL,COc1ccc(/C=C/C(=O)c2ccccc2)cc1O,254.285,3.296900000000002,1.0,3.0
CHAL,O=C(/C=C/c1cccc(Oc2ccccc2)c1)c1ccccc1,300.357,5.375000000000004,0.0,2.0
CHAL,COc1ccc(/C=C/C(=O)c2ccccc2)cc1OC,268.312,3.5999000000000025,0.0,3.0
CHAL,O=C(/C=C/c1ccc(Cl)cc1)c1ccccc1,242.705,4.236100000000003,0.0,1.0
CHAL,O=C(/C=C/c1cccc(N(O)O)c1)c1ccccc1,255.27300000000002,3.1675000000000013,2.0,4.0
CHAL,COc1cc(OC)c(C(=O)/C=C/c2ccccc2)c(OC)c1,298.3380000000001,3.608500000000003,0.0,4.0
CHAL,COc1cc(OC)c(C(=O)/C=C/c2cc(F)ccc2F)c(OC)c1,334.3180000000001,3.886700000000003,0.0,4.0
CHAL,O=C(O)c1ccc(C(=O)/C=C/c2cc(Br)cc(Br)c2)cc1,410.06100000000004,4.805900000000002,1.0,2.0
CHAL,O=C(/C=C/c1cc(Cl)cc(Cl)c1)c1ccc(O)cc1,293.149,4.595100000000002,1.0,2.0
CHAL,O=C(O)c1ccc(C(=O)/C=C/c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,388.263,5.318500000000002,1.0,2.0
CHAL,COc1ccccc1/C=C/C(=O)c1cc(OC)c(OC)c(OC)c1,328.3640000000001,3.6171000000000024,0.0,5.0
CHAL,COc1ccccc1-c1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)s1,384.4530000000001,4.680500000000004,0.0,6.0
CHAL,CN(C)c1ccc(/C=C/C(=O)c2ccccc2)cc1,251.32899999999998,3.6487000000000025,0.0,2.0
CHAL,CN(C)c1ccc(/C=C/C(=O)c2ccc(N3CCN(CC(=O)c4ccc(Cl)cc4)CC3)cc2)cc1,488.0310000000002,5.307000000000005,0.0,5.0
CHAL,COc1ccc(/C(=C/C(=O)c2ccc(Cl)cc2)Oc2ccc(/C=N/Nc3ccnc4cc(Cl)ccc34)cc2)c(OC)c1OC,628.5120000000001,8.316200000000006,1.0,8.0
CHAL,O=C(/C=C/c1ccc2c(c1)OCO2)c1c(O)cc(O)cc1O,300.266,2.428200000000001,3.0,6.0
CHAL,COc1cc(OC)c(C(=O)/C=C/c2ccc(OC)c(O)c2)c(OC)c1,344.3630000000001,3.322700000000002,1.0,6.0
CHAL,NC/C(=C\C(=O)c1ccccc1)c1ccccc1,237.30200000000002,2.9116000000000017,1.0,2.0
CHAL,O=C(/C=C(\CO)c1ccccc1)c1ccccc1,238.28600000000003,2.9452000000000007,1.0,2.0
CHAL,O=C(/C=C/c1ccccc1)c1ccccc1O,224.25900000000001,3.2883000000000018,1.0,2.0
CHAL,O=C(/C=C/c1ccccc1)c1ccc(O)cc1,224.25900000000001,3.2883000000000013,1.0,2.0
CHAL,O=C(/C=C/c1ccccc1)c1cccc(O)c1,224.25900000000001,3.2883000000000013,1.0,2.0
CHAL,COc1ccc(C(=O)/C=C/c2ccccc2)c(O)c1,254.28500000000003,3.2969000000000017,1.0,3.0
CHAL,O=C(/C=C/c1ccc(O)cc1)c1cccc(O)c1,240.258,2.993900000000001,2.0,3.0
